HINCP	NATIVITY	RAC1P	SEX	HISP	OCCP12
95000	1	1	1	1	3060
186000	2	9	2	1	3060
41350	1	1	2	1	3060
285000	1	1	1	1	3060
262000	1	1	1	1	3060
71100	1	1	1	1	3060
414500	1	1	1	1	3060
372500	1	1	1	1	3060
138000	1	1	1	1	3060
88020	1	1	2	1	3060
59100	1	1	1	1	3060
251000	1	1	2	1	3060
346800	1	1	1	1	3060
320400	1	1	1	1	3060
94900	1	1	1	1	3060
94900	1	1	2	1	3060
50000	1	1	1	1	3060
566000	1	1	1	1	3060
475200	1	1	1	1	3060
480000	1	1	1	1	3060
581000	1	1	1	1	3060
581000	1	1	2	1	3060
22200	1	1	1	1	3060
66200	1	6	1	1	3060
70800	1	1	1	1	3060
45300	1	1	1	1	3060
283000	1	1	1	1	3060
462000	1	1	1	1	3060
656000	2	1	1	2	3060
656000	2	1	2	1	3060
125000	2	1	2	1	3060
104000	2	1	2	4	3060
200000	1	1	2	1	3060
375200	1	1	1	1	3060
412000	2	6	1	1	3060
412000	2	6	2	1	3060
190200	2	1	1	1	3060
100000	1	1	1	1	3060
240000	1	1	1	1	3060
105000	2	6	1	1	3060
47200	2	6	1	1	3060
180000	1	2	2	1	3060
548000	1	1	1	1	3060
396000	1	1	1	1	3060
62000	1	1	1	1	3060
360050	2	6	1	1	3060
360050	2	6	2	1	3060
325000	1	1	1	1	3060
36070	1	9	1	1	3060
353000	2	6	1	1	3060
353000	2	6	2	1	3060
224500	1	1	1	1	3060
78000	1	1	2	1	3060
120800	1	6	2	1	3060
168900	1	1	1	1	3060
234700	2	6	1	1	3060
234700	2	6	2	1	3060
56000	2	2	1	1	3060
17500	1	1	1	1	3060
130000	1	2	1	1	3060
406500	2	6	1	1	3060
272000	2	6	2	1	3060
214500	1	1	2	2	3060
214500	1	1	1	1	3060
50500	1	1	1	1	3060
30400	2	6	1	1	3060
319400	1	1	1	1	3060
153800	1	1	1	1	3060
528000	2	1	1	1	3060
528000	1	1	2	16	3060
336000	1	1	1	1	3060
382000	1	6	1	1	3060
382000	1	6	2	1	3060
386000	1	1	1	1	3060
135000	1	1	2	1	3060
188400	1	1	1	1	3060
88000	2	1	1	4	3060
220000	2	6	2	1	3060
266300	1	1	2	1	3060
266300	1	6	1	1	3060
249500	1	1	1	1	3060
141500	1	1	1	1	3060
247000	1	1	1	1	3060
735000	2	6	2	1	3060
735000	2	6	1	1	3060
96000	1	1	2	1	3060
96000	1	1	1	1	3060
228000	1	1	1	1	3060
304000	1	1	1	1	3060
120000	1	1	1	1	3060
139400	2	2	1	1	3060
443000	2	9	1	1	3060
166000	1	1	2	1	3060
135000	1	1	1	1	3060
37020	2	1	1	1	3060
140100	2	1	2	3	3060
149100	1	1	2	1	3060
577000	2	6	1	1	3060
577000	1	6	2	1	3060
265000	1	6	2	1	3060
150000	1	1	1	1	3060
202000	2	1	2	1	3060
344000	1	1	1	1	3060
71200	2	6	1	1	3060
59000	1	1	1	1	3060
91000	1	1	1	1	3060
